player_id,player_name,bat_hand,throw_hand
683618,edgardo henriquez,R,R
643511,tyler rogers,R,R
676534,calvin faucher,R,R
664126,pete fairbanks,R,R
663738,daniel lynch iv,L,L
663158,robert suarez,R,R
681870,erik sabrowski,R,L
665622,luis medina,R,R
668674,lucas erceg,L,R
660271,shohei ohtani,L,R
663728,cal raleigh,S,R
663656,kyle tucker,L,R
677951,bobby witt jr.,R,R
701762,nick kurtz,L,L
665489,vladimir guerrero jr.,R,R
518692,freddie freeman,L,R
669127,shea langeliers,R,R
621566,matt olson,L,R
662139,daulton varsho,L,R
647304,josh naylor,L,L
669257,will smith,R,R
668227,randy arozarena,R,R
691016,tyler soderstrom,L,R
571970,max muncy,L,R
663586,austin riley,R,R
696100,hunter goodman,R,R
686469,vinnie pasquantino,L,L
805300,jakob marsee,L,L
680757,steven kwan,L,L
672580,maikel garcia,R,R
700932,kyle manzardo,L,R
521692,salvador perez,R,R
681624,andy pages,R,R
805779,jacob wilson,R,R
680977,brendan donovan,L,R
645277,ozzie albies,S,R
671732,lawrence butler,L,R
686948,drake baldwin,L,R
678662,ezequiel tovar,R,R
669364,xavier edwards,S,R
676391,ernie clement,R,R
672640,otto lopez,R,R
687597,jordan beck,R,R
641487,j.p. crawford,L,R
643446,jeff mcneil,L,R
666160,mickey moniak,L,R
656555,rhys hoskins,R,R
671739,michael harris ii,L,L
681393,connor norby,R,R
686555,isaac collins,S,R
672960,kazuma okamoto,R,R
686668,brenton doyle,R,R
695600,carter jensen,L,R
573262,mike yastrzemski,L,L
663697,jonathan india,R,R
641598,mitch garver,R,R
671289,tyler freeman,R,R
650489,willi castro,S,R
642086,dominic smith,L,L
808975,hyeseong kim,L,R
686527,dominic canzone,L,R
516782,starling marte,R,R
641680,jonah heim,S,R
664770,nathan lukes,L,R
695506,jac caglianone,L,L
682177,daniel schneemann,L,R
671655,george valera,L,L
666310,bo naylor,L,R
670042,luke raley,L,R
677587,brayan rocchio,S,R
623168,tyler heineman,S,R
800050,chase delauter,L,L
657041,lane thomas,R,R
702284,cole young,L,R
691777,max muncy,R,R
664983,jake mccarthy,L,L
676914,davis schneider,R,R
642201,eli white,R,R
664728,kyle isbel,L,R
687859,troy johnston,L,L
687221,dalton rushing,L,R
500743,miguel rojas,R,R
683357,owen caissie,L,R
681807,david fry,R,R
666397,edouard julien,L,R
689414,liam hicks,L,R
691594,javier sanoja,R,R
669743,alex call,R,R
687231,darell hernaiz,R,R
686681,michael massey,L,R
666126,carlos cortes,L,S
672016,denzel clarke,R,R
660844,leo rivas,S,R
669289,santiago espinal,R,R
596103,austin slater,R,R
688363,graham pauley,L,R
691720,kyle karros,R,R
664702,myles straw,R,R
622761,jorge mateo,R,R
595978,austin hedges,R,R
642851,austin wynns,R,R
621550,patrick wisdom,R,R
690976,alex freeland,S,R
571657,kyle farmer,R,R
686475,tyler tolbert,R,R
681198,tj rumfield,L,R
656582,connor joe,R,R
682877,juan brito,S,R
691277,deyvison de los santos,R,R
680869,zack gelof,R,R
678218,brandon valenzuela,S,R
664954,brett sullivan,L,R
663542,bryan hudson,L,L
502054,tommy pham,R,R
678391,jorbit vivas,L,R
678554,curtis mead,R,R
682641,luis matos,R,R
670183,garrett acton,L,R
571578,patrick corbin,L,L
675919,nick raquet,R,L
672820,lenyn sosa,R,R
